apartment_name,build_year,area,floor,dong,road_name,road_name_bonbun,jibun,deal_amount,deal_day,URL,image_url
삼익비치,1979,131.27,9, 남천동,광안해변로,100,148-4,"200,000",2022.1.11,https://new.land.naver.com/complexes/7770?tab=photos&rf=Y,https://search.pstatic.net/sunny/?src=https%3A%2F%2Fimage.hogangnono.com%2Fimage%2Fnowatermark%2Foriginal%2Freview%2F20220406092844_OvppGW0I4BPM0Qbs2K%3Fs%3D720x180%26t%3Doutside%26q%3D100&type=sc960_832
삼익비치,1979,84.83,3, 남천동,광안해변로,100,148-4,"145,000",2022.1.14,https://new.land.naver.com/complexes/7770?tab=photos&rf=Y,https://search.pstatic.net/sunny/?src=https%3A%2F%2Fimage.hogangnono.com%2Fimage%2Fnowatermark%2Foriginal%2Freview%2F20220406092844_OvppGW0I4BPM0Qbs2K%3Fs%3D720x180%26t%3Doutside%26q%3D100&type=sc960_832
삼익비치,1979,84.83,3, 남천동,광안해변로,100,148-4,"145,000",2022.1.14,https://new.land.naver.com/complexes/7770?tab=photos&rf=Y,https://search.pstatic.net/sunny/?src=https%3A%2F%2Fimage.hogangnono.com%2Fimage%2Fnowatermark%2Foriginal%2Freview%2F20220406092844_OvppGW0I4BPM0Qbs2K%3Fs%3D720x180%26t%3Doutside%26q%3D100&type=sc960_832
삼익비치,1979,131.27,1, 남천동,광안해변로,100,148-4,"170,000",2022.2.9,https://new.land.naver.com/complexes/7770?tab=photos&rf=Y,https://search.pstatic.net/sunny/?src=https%3A%2F%2Fimage.hogangnono.com%2Fimage%2Fnowatermark%2Foriginal%2Freview%2F20220406092844_OvppGW0I4BPM0Qbs2K%3Fs%3D720x180%26t%3Doutside%26q%3D100&type=sc960_832
삼익비치,1979,131.27,4, 남천동,광안해변로,100,148-4,"213,000",2022.2.12,https://new.land.naver.com/complexes/7770?tab=photos&rf=Y,https://search.pstatic.net/sunny/?src=https%3A%2F%2Fimage.hogangnono.com%2Fimage%2Fnowatermark%2Foriginal%2Freview%2F20220406092844_OvppGW0I4BPM0Qbs2K%3Fs%3D720x180%26t%3Doutside%26q%3D100&type=sc960_832
삼익비치,1979,41.52,9, 남천동,광안해변로,100,148-4,"88,500",2022.5.6,https://new.land.naver.com/complexes/7770?tab=photos&rf=Y,https://search.pstatic.net/sunny/?src=https%3A%2F%2Fimage.hogangnono.com%2Fimage%2Fnowatermark%2Foriginal%2Freview%2F20220406092844_OvppGW0I4BPM0Qbs2K%3Fs%3D720x180%26t%3Doutside%26q%3D100&type=sc960_832
한양,1980,96.4,11, 낙민동,충렬대로,314,172,"79,000",2022.3.26,https://new.land.naver.com/complexes/4824?tab=photos&rf=Y,https://landthumb-phinf.pstatic.net/20110421_101/land_system_1303393490526xzgDg_JPEG/B3ABB9CEB5BFB7A1C7D1BEE703.jpg?type=m1024
한양,1980,96.4,9, 낙민동,충렬대로,314,172,"80,000",2022.4.24,https://new.land.naver.com/complexes/4824?tab=photos&rf=Y,https://landthumb-phinf.pstatic.net/20110421_101/land_system_1303393490526xzgDg_JPEG/B3ABB9CEB5BFB7A1C7D1BEE703.jpg?type=m1024
시영79년,1980,40.13,2, 재송동,해운대로61번길,62,1030,"28,500",2022.5.6,https://new.land.naver.com/complexes/15089?tab=photos&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDExMDJfMTU4%2FMDAxNjA0MzE5Mjk5NzIy.aCXp5qFoQNb9ZrMYgFuzZPzcNxDH8VggEQasm2ftToEg.dlI6W1dwg9K8ubVCZpXdKYLwHqGduaXW9kTcmhnPt00g.JPEG.herotitan%2FKakaoTalk_20201019_205604858_23.jpg&type=sc960_832
시영79년,1980,40.13,4, 재송동,해운대로61번길,62,1030,"26,600",2022.5.6,https://new.land.naver.com/complexes/15089?tab=photos&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDExMDJfMTU4%2FMDAxNjA0MzE5Mjk5NzIy.aCXp5qFoQNb9ZrMYgFuzZPzcNxDH8VggEQasm2ftToEg.dlI6W1dwg9K8ubVCZpXdKYLwHqGduaXW9kTcmhnPt00g.JPEG.herotitan%2FKakaoTalk_20201019_205604858_23.jpg&type=sc960_832
왕자,1979,65.16,5, 반여동,선수촌로,9,1477-1,"69,000",2022.4.7,https://new.land.naver.com/complexes/7554?tab=photos&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20101011_30%2Fremate1_12867732715449H9Ov_jpg%2F1_remate1.jpg&type=sc960_832
대동대교맨션,1980,98.33,6, 대평동1가,대평로,16,1,"55,000",2022.2.18,https://new.land.naver.com/complexes/7709?tab=photos&rf=Y,https://landthumb-phinf.pstatic.net/20110421_56/land_system_1303376262435HIHJA_JPEG/detail_7709_5.jpg?type=m1024
한양아파트,1978,74.18,5, 범일동,조방로26번길,17,830-90,"58,400",2022.4.5,https://new.land.naver.com/complexes/4795?tab=photos&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODA5MjhfNDQg%2FMDAxNTM4MTIwNTAyNTk1._XCBaqnONA6UtERTFOVPMBU511eL0ygVzZ2TSNtTdEIg.wakqFtPc14LDfGMlZko0CV21RJgNqijwTjbeXo_AViUg.JPEG.jhj785678%2F%25C0%25E7%25B0%25C7%25C3%25E0.jpg&type=sc960_832
한양아파트,1978,64.23,12, 범일동,조방로26번길,17,830-90,"52,500",2022.5.9,https://new.land.naver.com/complexes/4795?tab=photos&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODA5MjhfNDQg%2FMDAxNTM4MTIwNTAyNTk1._XCBaqnONA6UtERTFOVPMBU511eL0ygVzZ2TSNtTdEIg.wakqFtPc14LDfGMlZko0CV21RJgNqijwTjbeXo_AViUg.JPEG.jhj785678%2F%25C0%25E7%25B0%25C7%25C3%25E0.jpg&type=sc960_832
수안,1976,50.58,5, 수안동,명륜로45번길,31,10월 01일,"35,000",2022.4.1,https://new.land.naver.com/complexes/19335?tab=detail&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20150623_192%2Fbusan_sniper_1435028266603fygW4_PNG%2F%25BD%25BD%25B6%25F3%25C0%25CC%25B5%25E51.PNG&type=sc960_832
효성,1983,65.01,2, 연산동,중앙대로1038번길,54,1643-2,"31,500",2022.2.11,https://new.land.naver.com/complexes/13691?tab=detail&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTA1MTBfMTcg%2FMDAxNjIwNjQwNDQ3MDU3.o6sUlXyFGa-Ne_ywYQk8vqndgVq52_Qp_rMr41nCgVEg.pLlg1cUzryVqFL7xKoYbyd_klg1Qp342iIsd71W2z9cg.PNG.joowon1199%2F3.png&type=sc960_832
신동양,1979,62.48,3, 괴정동,낙동대로,265,547-1,"32,700",2022.3.30,https://new.land.naver.com/complexes/6218?tab=photos&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20101216_201%2Fnon7676_1292479467147zvJy3_PNG%2F%25B1%25AB%25C1%25A4%25BD%25C5%25B5%25BF%25BE%25E7%25BE%25C6%25C6%25C4%25C6%25AE-1.png&type=sc960_832
한신2,1984,61.02,2, 낙민동,낙민로,17,185-1,"51,700",2022.3.7,https://new.land.naver.com/complexes/14759?tab=photos&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA1MTBfNjYg%2FMDAxNTg5MDk4MDQ4Njkw.EBbfs9gJeRrOk-TeuIXM3hMR9FYnxcQKKBv8rL8k4VAg._99jMJdXmbQfyoFO7LYygZ5y3aMbLFefVK83nIC0lZUg.JPEG.mk5086%2FKakaoTalk_20200510_164321215.jpg&type=sc960_832
창신맨션,1986,50.76,1, 반여동,삼어로147번길,11,668-1,"36,000",2022.1.11,https://new.land.naver.com/complexes/7586?tab=photos&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjAxMTFfMjY3%2FMDAxNjQxODYyMzExNjk0.y0-5S4gl_Xx_V3EK0xSC2D0h4Ax-9AbzP4Kk6a4C4DUg.tGsxJEgxrqy75OzML0D2aDkFavV4aBnRYQqN8N1bRmsg.JPEG.happypharm99%2FKakaoTalk_20220110_131153032_09.jpg&type=sc960_832
창신맨션,1986,41.4,3, 반여동,삼어로147번길,11,668-1,"30,000",2022.5.13,https://new.land.naver.com/complexes/7586?tab=photos&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjAxMTFfMjY3%2FMDAxNjQxODYyMzExNjk0.y0-5S4gl_Xx_V3EK0xSC2D0h4Ax-9AbzP4Kk6a4C4DUg.tGsxJEgxrqy75OzML0D2aDkFavV4aBnRYQqN8N1bRmsg.JPEG.happypharm99%2FKakaoTalk_20220110_131153032_09.jpg&type=sc960_832
창신,1985,61.065,1, 당리동,승학로17번길,20,237-2,"29,500",2022.5.13,https://new.land.naver.com/complexes/6675?tab=photos&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDAyMTZfMjYg%2FMDAxNTgxNzc5MDU4Njk0.w-_HDZRQ83JOu1skkVhn4vBwvgykYRIfurxNvKGyI-og.qoQBYMJa10wAsl80_TG-AcFWB6ysdWx_lHHqcWAzhHEg.JPEG.u_csr%2F%25B4%25E7%25B8%25AE1%25B1%25B8%25BF%25AA-3.JPG&type=sc960_832
창신,1985,65.025,6, 당리동,승학로17번길,20,237-2,"28,700",2022.5.26,https://new.land.naver.com/complexes/6675?tab=photos&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDAyMTZfMjYg%2FMDAxNTgxNzc5MDU4Njk0.w-_HDZRQ83JOu1skkVhn4vBwvgykYRIfurxNvKGyI-og.qoQBYMJa10wAsl80_TG-AcFWB6ysdWx_lHHqcWAzhHEg.JPEG.u_csr%2F%25B4%25E7%25B8%25AE1%25B1%25B8%25BF%25AA-3.JPG&type=sc960_832
금양해바라기2,1981,71.8,4, 수안동,충렬대로202번길,14,665-1,"75,000",2022.2.18,https://new.land.naver.com/complexes/4890?tab=photos&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODA5MjBfNjYg%2FMDAxNTM3NDEwMTYwNjc1.B32O-NSyZ-Dz0OYUo7uQIdGaj0tZOVbV9VfDK2okheIg.zEuNtRR9rH2qYUMVw9mfTPWZPeddFEYv8hFd_BRT23og.PNG.giant2002%2F117.PNG&type=sc960_832
삼익,1978,78.31,10, 괴정동,낙동대로,287,550-12,"53,000",2022.5.6,https://new.land.naver.com/complexes/6169?tab=detail&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20130212_292%2Fwwlucky_1360666256099gTvrL_JPEG%2F%25B3%25D7%25C0%25CC%25B9%25F6%25BB%25EF%25C0%25CD%25C0%25FC%25B0%25E6.jpg&type=sc960_832
광림,1984,78.3,2, 낙민동,낙민로,13,187-1,"64,000",2022.1.10,https://new.land.naver.com/complexes/25431?tab=detail&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTEwMDdfNDkg%2FMDAxNjMzNjEzMjAxNTc4.jlh72E8HMRK9WC-aKotBon4XlX6D5JwL9f9aydpmVP4g.amKhf6S5TS6Mg_db33T96ESlvYjrrBRyE-2aNo0YWEUg.JPEG.kimhaeun1780%2F20211005%25A3%25DF153459.jpg&type=sc960_832
광림,1984,78.3,1, 낙민동,낙민로,13,187-1,"60,000",2022.5.23,https://new.land.naver.com/complexes/25431?tab=detail&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTEwMDdfNDkg%2FMDAxNjMzNjEzMjAxNTc4.jlh72E8HMRK9WC-aKotBon4XlX6D5JwL9f9aydpmVP4g.amKhf6S5TS6Mg_db33T96ESlvYjrrBRyE-2aNo0YWEUg.JPEG.kimhaeun1780%2F20211005%25A3%25DF153459.jpg&type=sc960_832
새동림,1984,79.38,4, 당리동,승학로17번길,8,234-1,"41,000",2022.5.18,https://new.land.naver.com/complexes/16047?tab=detail&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDAyMTZfMjM5%2FMDAxNTgxNzc5MDU4NzAz.BJcvwsUE_AVKXCUBIThEx0dI9m0OFeydovN8xkoy82og.8E1WFl-j0zZQO6FVk1-79lYQtPJBSjkjLhnIy9xIVrwg.JPEG.u_csr%2F%25B4%25E7%25B8%25AE1%25B1%25B8%25BF%25AA-4.JPG&type=sc960_832
제일(8-4),1978,67.97,2, 수안동,충렬대로202번길,77,08월 01일,"26,500",2022.2.11,https://new.land.naver.com/complexes/10645?tab=detail&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20130409_122%2Fiirune82_13654989550254Mnay_PNG%2F%25C0%25E5%25B9%25CC.png&type=sc960_832
